,Incident Number,Incident Date,Time Num,Street,Alt Street,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
85,18-062230,2018-07-03 07:00:00,7.0,400 Somerville Ave,,Cherokee Blvd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.064697,-85.313699,POINT (-85.313699 35.064697),"(35.064697, -85.313699)",Daylight,2018,7,3,7,1
86,18-063390,2018-07-06 01:23:00,1.5,1949 Northpoint Blvd,SR-1900,Hwy 153,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,0.0,35.139184,-85.241889,POINT (-85.241889 35.139184),"(35.139184, -85.241889)",Dark - Lighted,2018,7,6,1,4
87,18-064535,2018-07-09 12:15:00,12.5,Market St,,E 6th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.049668,-85.309567,POINT (-85.309567 35.049668),"(35.049668, -85.309567)",Daylight,2018,7,9,12,0
88,18-066485,2018-07-14 15:15:00,15.5,Brainerd Rd,,N Germantown Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.023689,-85.244503,POINT (-85.244503 35.023689),"(35.023689, -85.244503)",Daylight,2018,7,14,15,5
89,18-071469,2018-07-28 00:00:00,,300 Highway 153 SB,,Jersey Pike,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,0,0,55.0,1,Unknown,1,0,1.0,1.0,35.0336745,-85.180913,POINT (-85.180913 35.0336745),"(35.0336745, -85.180913)",Unknown,2018,7,28,0,5
90,18-072056,2018-07-29 23:00:00,23.0,4537 Norcross Rd,,Vanessa Dr,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,0,0,40.0,1,Clear,1,0,0.0,0.0,35.133413,-85.255501,POINT (-85.255501 35.133413),"(35.133413, -85.255501)",Dark - Not Lighted,2018,7,29,23,6
91,18-074115,2018-08-05 01:31:00,1.5,Market St,,Market St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,2,Clear,1,0,0.0,1.0,35.0588643,-85.309234,POINT (-85.309234 35.0588643),"(35.0588643, -85.309234)",Dark - Lighted,2018,8,5,1,6
92,18-074992,2018-08-07 14:20:00,14.5,1100 Market St,,E 11th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.043922,-85.309345,POINT (-85.309345 35.043922),"(35.043922, -85.309345)",Daylight,2018,8,7,14,1
93,18-076736,2018-08-12 00:00:00,,114 Raider Ln,,Signal Mountain Rd.,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.089254,-85.33089,POINT (-85.33089 35.089254),"(35.089254, -85.330890)",Unknown,2018,8,12,0,6
94,18-078276,2018-08-16 20:25:00,20.5,Webb Rd,,Rosalind Ln,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.093622,-85.190694,POINT (-85.190694 35.093622),"(35.093622, -85.190694)",Dusk,2018,8,16,20,3
95,18-083091,2018-08-30 16:50:00,17.0,3222 Cummings Hwy,US-41,3200 Cummings Hwy,32.0,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.019037,-85.371242,POINT (-85.371242 35.019037),"(35.019037, -85.371242)",Daylight,2018,8,30,16,3
96,22-018870,2022-02-22 13:15:00,13.5,501 Signal Mountain Rd,,Mundy St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.072448,-85.248419,POINT (-85.248419 35.072448),"(35.0724480, -85.248419)",Daylight,2022,2,22,13,1
97,18-085109,2018-09-05 17:27:00,17.5,1300 Poplar St,,12th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.0436476,-85.312249,POINT (-85.312249 35.0436476),"(35.0436476, -85.312249)",Daylight,2018,9,5,17,2
98,18-088427,2018-09-14 19:10:00,19.0,E Martin Luther King Blvd / University St,,University St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.043151,-85.30296,POINT (-85.30296 35.043151),"(35.043151, -85.302960)",Daylight,2018,9,14,19,4
99,18-089195,2018-09-17 02:30:00,2.5,Gunbarrel Rd,,Gunbarrel RD,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.03437,-85.151582,POINT (-85.151582 35.03437),"(35.034370, -85.151582)",Dark - Not Lighted,2018,9,17,2,0
100,18-091700,2018-09-24 07:50:00,8.0,5740 Highway 153,US-5740,Grubb Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Rain,1,0,0.0,0.0,35.154473,-85.24818,POINT (-85.24818 35.154473),"(35.154473, -85.248180)",Daylight,2018,9,24,7,0
101,18-091946,2018-09-24 20:25:00,20.5,7356 Lee Highway,,Cedar Creek mobile home park,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,0,0,45.0,1,Rain,1,0,0.0,0.0,35.0814356,-85.263616,POINT (-85.263616 35.0814356),"(35.0814356, -85.263616)",Dark - Lighted,2018,9,24,20,0
102,18-092529,2018-09-26 13:00:00,13.0,600 Mccallie Ave,,Campus Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Rain,1,0,0.0,0.0,35.045946,-85.301604,POINT (-85.301604 35.045946),"(35.045946, -85.301604)",Daylight,2018,9,26,13,2
103,18-093037,2018-09-27 20:17:00,20.5,Bonny Oaks Dr,,Lee Hwy,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Rain,1,0,0.0,0.0,35.060689,-85.134239,POINT (-85.134239 35.060689),"(35.060689, -85.134239)",Dark - Lighted,2018,9,27,20,3
104,18-093780,2018-09-29 21:20:00,21.5,1800 - 1899 Verona Dr,,7100 Igou Gap,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.028365,-85.162189,POINT (-85.162189 35.028365),"(35.028365, -85.162189)",Dark - Lighted,2018,9,29,21,5
105,18-095068,2018-10-03 13:57:00,14.0,2000 Milne St,,Dodson Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.04666,-85.263296,POINT (-85.263296 35.04666),"(35.046660, -85.263296)",Daylight,2018,10,3,13,2
106,18-096311,2018-10-06 21:40:00,21.5,200 W 4th St,,Chestnut St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.05227,-85.311782,POINT (-85.311782 35.05227),"(35.052270, -85.311782)",Dark - Lighted,2018,10,6,21,5
107,18-097950,2018-10-11 16:55:00,17.0,490 Greenway View Dr,,Skurlock Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.008709,-85.205213,POINT (-85.205213 35.008709),"(35.008709, -85.205213)",Daylight,2018,10,11,16,3
108,18-098546,2018-10-13 08:18:00,8.5,2700 Broad St,,W 27th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.025278,-85.317391,POINT (-85.317391 35.025278),"(35.025278, -85.317391)",Daylight,2018,10,13,8,5
109,18-101863,2018-10-22 16:48:00,17.0,Chestnut St,SR-500,W 5th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.050754,-85.311549,POINT (-85.311549 35.050754),"(35.050754, -85.311549)",Daylight,2018,10,22,16,0
110,18-102370,2018-10-23 23:30:00,23.5,4800-4849 Hixson Pike,,Williams St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.125416,-85.247475,POINT (-85.247475 35.125416),"(35.125416, -85.247475)",Dark - Not Lighted,2018,10,23,23,1
111,18-105785,2018-11-02 18:55:00,19.0,1816 Gunbarrel Rd,,Crane Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.024501,-85.155628,POINT (-85.155628 35.024501),"(35.024501, -85.155628)",Daylight,2018,11,2,18,4
112,18-106817,2018-11-05 21:15:00,21.5,N Willow St,,McCallie Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Rain,1,0,0.0,0.0,35.0365468,-85.304093,POINT (-85.304093 35.0365468),"(35.0365468, -85.304093)",Dark - Lighted,2018,11,5,21,0
113,18-107943,2018-11-08 19:00:00,19.0,4408 Highway 58,,Murray Hills Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,45.0,1,Rain,1,0,0.0,1.0,35.083619,-85.202,POINT (-85.202 35.083619),"(35.083619, -85.202000)",Dark - Lighted,2018,11,8,19,3
114,18-109913,2018-11-14 16:35:00,16.5,3734 St Elmo Ave,,38th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Rain,1,0,0.0,0.0,35.011461,-85.327661,POINT (-85.327661 35.011461),"(35.011461, -85.327661)",Daylight,2018,11,14,16,2
115,18-113881,2018-11-26 19:27:00,19.5,7100 Shallowford Rd,,Shallowford Village Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.043473,-85.158527,POINT (-85.158527 35.043473),"(35.043473, -85.158527)",Dark - Lighted,2018,11,26,19,0
116,18-116929,2018-12-05 14:56:00,15.0,1413 Bailey Ave,,S Highland Park Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.035704,-85.282778,POINT (-85.282778 35.035704),"(35.035704, -85.282778)",Daylight,2018,12,5,14,2
117,18-118348,2018-12-09 18:34:00,18.5,5704  Highway 153,SR-153,Carmack Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.152798,-85.249638,POINT (-85.249638 35.152798),"(35.152798, -85.249638)",Dark - Not Lighted,2018,12,9,18,6
118,18-119061,2018-12-11 20:25:00,20.5,2000 Northpoint Blvd,,Hixson Pike,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.135812,-85.238251,POINT (-85.238251 35.135812),"(35.135812, -85.238251)",Dark - Lighted,2018,12,11,20,1
119,18-121505,2018-12-18 14:56:00,15.0,2400 Wilcox Blvd,,Wheeler Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.052089,-85.257494,POINT (-85.257494 35.052089),"(35.052089, -85.257494)",Daylight,2018,12,18,14,1
120,19-001434,2019-01-04 18:50:00,19.0,2700 Rossville Blvd,,Foust St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,40.0,1,Cloudy,1,0,0.0,0.0,35.106002,-85.348993,POINT (-85.348993 35.106002),"(35.106002, -85.348993)",Dusk,2019,1,4,18,4
121,19-002288,2019-01-07 10:48:00,11.0,3440 Wilcox Blvd,,Tunnel Blvd,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,0,0,15.0,1,Clear,1,0,1.0,0.0,35.046965,-85.238216,POINT (-85.238216 35.046965),"(35.046965, -85.238216)",Daylight,2019,1,7,10,0
122,19-002819,2019-01-08 18:45:00,19.0,2500 E 5th St,,Kilmer St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,2,Clear,1,0,0.0,0.0,35.035507,-85.263648,POINT (-85.263648 35.035507),"(35.035507, -85.263648)",Dark - Lighted,2019,1,8,18,1
123,19-005342,2019-01-16 14:55:00,15.0,700 Mccallie ave,,Foster St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.0438652,-85.304042,POINT (-85.304042 35.0438652),"(35.0438652, -85.304042)",Daylight,2019,1,16,14,2
124,19-008058,2019-01-24 19:01:00,19.0,Gunbarrel Rd,,Igou Gap Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.010064,-85.241054,POINT (-85.241054 35.010064),"(35.010064, -85.241054)",Dark - Not Lighted,2019,1,24,19,3
125,19-008657,2019-01-26 17:10:00,17.0,Brainerd Rd,,N Moore Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,40.0,1,Clear,1,0,0.0,1.0,35.012954,-85.228277,POINT (-85.228277 35.012954),"(35.012954, -85.228277)",Daylight,2019,1,26,17,5
126,19-009918,2019-01-30 19:34:00,19.5,5500 Highway 58,SR-5500,Hickory Valley Road,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,0,0,45.0,1,Clear,1,0,1.0,0.0,35.106856,-85.150596,POINT (-85.150596 35.106856),"(35.106856, -85.150596)",Dark - Not Lighted,2019,1,30,19,2
127,19-010795,2019-02-02 14:30:00,14.5,700 E 11th St,,Peeples St,,Property Damage,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.040673,-85.30112,POINT (-85.30112 35.040673),"(35.040673, -85.301120)",Daylight,2019,2,2,14,5
128,19-011274,2019-02-03 21:16:00,21.5,5245 Hwy 153,,153,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.126426,-85.242126,POINT (-85.242126 35.126426),"(35.126426, -85.242126)",Dark - Not Lighted,2019,2,3,21,6
129,19-011406,2019-02-04 12:25:00,12.5,5500 Highway 153,US-5500,Gadd Road,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.142401,-85.248276,POINT (-85.248276 35.142401),"(35.142401, -85.248276)",Daylight,2019,2,4,12,0
130,19-011927,2019-02-05 19:50:00,20.0,2100 Chamberlain Ave,,S Kelley St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.032637,-85.271267,POINT (-85.271267 35.032637),"(35.032637, -85.271267)",Dark - Lighted,2019,2,5,19,1
131,19-013051,2019-02-08 19:05:00,19.0,5238 Highway 153,,Northgate Mall Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.124937,-85.240093,POINT (-85.240093 35.124937),"(35.124937, -85.240093)",Dark - Not Lighted,2019,2,8,19,4
132,19-013867,2019-02-11 14:30:00,14.5,5873 Lake Resort Terrace,US-5873,Lake Resort Drive,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Rain,1,0,0.0,1.0,35.110414,-85.209753,POINT (-85.209753 35.110414),"(35.110414, -85.209753)",Daylight,2019,2,11,14,0
133,19-015485,2019-02-15 17:58:00,18.0,Private Drive,,Hixson Pike,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Rain,1,0,0.0,1.0,35.107208,-85.271691,POINT (-85.271691 35.107208),"(35.107208, -85.271691)",Daylight,2019,2,15,17,4
134,19-015515,2019-02-15 19:25:00,19.5,495 Riverfront Pkwy,,W Martin Luther King Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Rain,1,0,0.0,0.0,35.054018,-85.320627,POINT (-85.320627 35.054018),"(35.054018, -85.320627)",Dark - Lighted,2019,2,15,19,4
135,19-017919,2019-02-23 13:42:00,13.5,Hwy 153,SR-5764,Hwy 153,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Rain,1,0,0.0,0.0,35.152975,-85.24562,POINT (-85.24562 35.152975),"(35.152975, -85.245620)",Daylight,2019,2,23,13,5
136,19-018056,2019-02-23 23:04:00,23.0,2900 Hamill Rd,,Greenway View Drive,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,1,0,35.0,1,Rain,1,0,1.0,1.0,35.129734,-85.21994,POINT (-85.21994 35.129734),"(35.129734, -85.219940)",Dark - Lighted,2019,2,23,23,5
137,19-018071,2019-02-24 01:25:00,1.5,3817 Hixson Pike,SR-3817,Mauldeth,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Rain,1,0,0.0,0.0,35.110842,-85.270346,POINT (-85.270346 35.110842),"(35.110842, -85.270346)",Dark - Not Lighted,2019,2,24,1,6
138,19-019595,2019-02-28 17:00:00,17.0,6025 E Brainerd Rd,,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Rain,1,0,0.0,0.0,35.01766,-85.204326,POINT (-85.204326 35.01766),"(35.017660, -85.204326)",Daylight,2019,2,28,17,3
139,19-019947,2019-03-01 16:15:00,16.5,1600 Dodds Ave,,E 16th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.0204,-85.27048,POINT (-85.27048 35.0204),"(35.020400, -85.270480)",Daylight,2019,3,1,16,4
140,19-020433,2019-03-03 02:45:00,3.0,7003 Shallowford Rd,,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,15.0,1,Clear,1,0,0.0,1.0,35.044604,-85.160235,POINT (-85.160235 35.044604),"(35.044604, -85.160235)",Dark - Lighted,2019,3,3,2,6
141,19-021174,2019-03-05 14:25:00,14.5,900 Central Ave St,,E Martin Luther King Blvd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,,,35.039775,-85.292119,POINT (-85.292119 35.039775),"(35.039775, -85.292119)",Daylight,2019,3,5,14,1
142,19-023407,2019-03-11 00:00:00,,Hwy 153,,Hixson Pike,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Rain,1,0,,,35.1295098,-85.243935,POINT (-85.243935 35.1295098),"(35.1295098, -85.243935)",Unknown,2019,3,11,0,0
143,19-023822,2019-03-13 08:32:00,8.5,31 Tunnel Blvd,,Montview Drive,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.027665,-85.248033,POINT (-85.248033 35.027665),"(35.027665, -85.248033)",Daylight,2019,3,13,8,2
144,19-025508,2019-03-17 21:29:00,21.5,6220 Vance Rd,,Airways Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.032936,-85.18724,POINT (-85.18724 35.032936),"(35.032936, -85.187240)",Dark - Not Lighted,2019,3,17,21,6
145,19-026306,2019-03-20 08:50:00,9.0,600 Chestnut St,,Non intersection,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.049623,-85.311696,POINT (-85.311696 35.049623),"(35.049623, -85.311696)",Daylight,2019,3,20,8,2
146,19-027827,2019-03-24 17:15:00,17.5,3227 7th Ave,,7th Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.003877,-85.283758,POINT (-85.283758 35.003877),"(35.003877, -85.283758)",Daylight,2019,3,24,17,6
147,19-028248,2019-03-25 20:40:00,20.5,Cummings Hwy,SR-3550,Hemlock Cir,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Rain,1,0,0.0,0.0,35.01654,-85.377148,POINT (-85.377148 35.01654),"(35.016540, -85.377148)",Dark - Lighted,2019,3,25,20,0
148,19-029559,2019-03-29 16:50:00,17.0,5605 Seagrove Ln,,Bungalow Cir,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,20.0,1,Clear,1,0,0.0,0.0,35.14337,-85.206028,POINT (-85.206028 35.14337),"(35.143370, -85.206028)",Daylight,2019,3,29,16,4
149,19-030455,2019-04-01 01:25:00,1.5,3100 Rossville Blvd,SR-1,E 31st,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,1.0,35.008603,-85.292886,POINT (-85.292886 35.008603),"(35.008603, -85.292886)",Dark - Lighted,2019,4,1,1,0
150,19-030883,2019-04-02 08:35:00,8.5,4816 Hixson Pike,,Williams Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.126591,-85.246563,POINT (-85.246563 35.126591),"(35.126591, -85.246563)",Daylight,2019,4,2,8,1
151,19-033780,2019-04-10 10:45:00,11.0,300 Manufacturers Rd,,Cherokee Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.06339,-85.31415,POINT (-85.31415 35.06339),"(35.063390, -85.314150)",Daylight,2019,4,10,10,2
152,19-034013,2019-04-10 20:00:00,20.0,1416 Cypress Street Ct,SR-1416,W Main St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.041002,-85.318266,POINT (-85.318266 35.041002),"(35.041002, -85.318266)",Daylight,2019,4,10,20,2
153,19-036604,2019-04-17 17:14:00,17.0,E Martin Luther King Blvd,,Peeples St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.042295,-85.298807,POINT (-85.298807 35.042295),"(35.042295, -85.298807)",Daylight,2019,4,17,17,2
154,19-036825,2019-04-18 09:55:00,10.0,Market St,,E 10th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.044862,-85.309402,POINT (-85.309402 35.044862),"(35.044862, -85.309402)",Daylight,2019,4,18,9,3
155,19-037042,2019-04-18 19:00:00,19.0,Dodson Ave,SR-911,Rawlings St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.046597,-85.263677,POINT (-85.263677 35.046597),"(35.046597, -85.263677)",Dark - Lighted,2019,4,18,19,3
156,19-037222,2019-04-19 10:00:00,10.0,3800 Tennessee Ave,,Saint Elmo Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.011069,-85.32764,POINT (-85.32764 35.011069),"(35.011069, -85.327640)",Daylight,2019,4,19,10,4
157,19-039899,2019-04-26 22:44:00,22.5,6236 Lee Hwy,,Vance Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.03064,-85.183996,POINT (-85.183996 35.03064),"(35.030640, -85.183996)",Dark - Not Lighted,2019,4,26,22,4
158,19-042402,2019-05-02 14:15:00,14.5,14 E 7th St,,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.048214,-85.3088,POINT (-85.3088 35.048214),"(35.048214, -85.308800)",Daylight,2019,5,2,14,3
159,19-043063,2019-05-04 23:30:00,23.5,2500 4th Ave,,E 25th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Unknown,1,0,,,35.014365,-85.281598,POINT (-85.281598 35.014365),"(35.014365, -85.281598)",Unknown,2019,5,4,23,5
160,19-044169,2019-05-08 14:40:00,14.5,5110 Hixson Pike,,North Point Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.135988,-85.238801,POINT (-85.238801 35.135988),"(35.135988, -85.238801)",Daylight,2019,5,8,14,2
161,19-044551,2019-05-09 13:15:00,13.5,815 Young Ave,,Dugdale st,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.065945,-85.290155,POINT (-85.290155 35.065945),"(35.065945, -85.290155)",Daylight,2019,5,9,13,3
162,19-045889,2019-05-13 06:09:00,6.0,E 42nd St,,Dorris St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Clear,1,0,,,35.001651,-85.311095,POINT (-85.311095 35.001651),"(35.001651, -85.311095)",Dawn,2019,5,13,6,0
163,19-045985,2019-05-13 06:00:00,6.0,Chandler Ave,,W 38th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.007179,-85.315154,POINT (-85.315154 35.007179),"(35.007179, -85.315154)",Dawn,2019,5,13,6,0
164,19-049404,2019-05-22 15:04:00,15.0,W Main St,,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.036143,-85.307328,POINT (-85.307328 35.036143),"(35.036143, -85.307328)",Daylight,2019,5,22,15,2
165,19-050169,2019-05-24 13:15:00,13.5,E Martin Luther King Blvd,,Georgia Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.045767,-85.308262,POINT (-85.308262 35.045767),"(35.045767, -85.308262)",Daylight,2019,5,24,13,4
166,19-051674,2019-05-28 16:11:00,16.0,E Main St,,S Holtzclaw Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",Daylight,2019,5,28,16,1
167,19-052135,2019-05-29 17:12:00,17.0,W 10th St,,Broad St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.044816,-85.310359,POINT (-85.310359 35.044816),"(35.044816, -85.310359)",Daylight,2019,5,29,17,2
168,19-054336,2019-06-04 14:20:00,14.5,5307 Highway 58,,North Hickory Valley Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,,1,Clear,1,0,0.0,0.0,35.103287,-85.164739,POINT (-85.164739 35.103287),"(35.103287, -85.164739)",Daylight,2019,6,4,14,1
169,19-055086,2019-06-06 16:50:00,17.0,Market St,,Choo Choo Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Rain,1,0,0.0,0.0,35.03779,-85.307429,POINT (-85.307429 35.03779),"(35.037790, -85.307429)",Daylight,2019,6,6,16,3
170,19-056824,2019-06-11 12:45:00,13.0,1538 Lillian Ln,,Wilcox Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.046372,-85.235016,POINT (-85.235016 35.046372),"(35.046372, -85.235016)",Daylight,2019,6,11,12,1
